Photo ID,Sample number,Phase,Phase2,First reclass,First assigned,NewClassific
9000,1297,Early,Early,Arch_New,Arch_New,Tara
9003,1297,Early,Early,Tara,Arch_New,Tara
9021,10922,Late,MidLate,N/A,Arch_New,Timo
9024,10922,Late,MidLate,N/A,Arch_New,Timo
9027,10922,Late,MidLate,N/A,Arch_New,Timo
9036,10925,Late,MidLate,Arch_New,Arch_New,Timo
9048,12015,Mid,MidLate,N/A,Arch_New,Tara
9057,3742,Early,Early,Arch_New,Arch_New,Tara
9114,78,Mid,MidLate,Timo,Arch_New,Timo
9141,10830,Late,MidLate,Timo,Arch_New,Timo
9144,13917,Late,MidLate,Arch_New,Arch_New,Timo
9156,1804,Early,Early,Arch_New,Arch_New,Timo
9158,11996,Mid,MidLate,N/A,Arch_New,Timo
9160,11996,Mid,MidLate,N/A,Arch_New,Tara
9162,11996,Mid,MidLate,N/A,Arch_New,Timo
9166,11996,Mid,MidLate,N/A,Arch_New,Tara
9168,11996,Mid,MidLate,N/A,Arch_New,Timo
9174,11996,Mid,MidLate,N/A,Arch_New,Tara
9186,10830,Late,MidLate,Arch_New,Arch_New,Timo
9188,10830,Late,MidLate,Arch_New,Arch_New,Timo
9190,10830,Late,MidLate,Arch_New,Arch_New,Timo
9192,10830,Late,MidLate,Arch_New,Arch_New,Tara
9194,10830,Late,MidLate,Timo,Arch_New,Timo
9200,10830,Late,MidLate,Arch_New,Arch_New,Timo
9244,3297,Early,Early,Arch_New,Arch_New,Timo
9256,10925,Late,MidLate,Arch_New,Arch_New,Timo
9258,10925,Late,MidLate,Arch_New,Arch_New,Tara
9260,10925,Late,MidLate,Arch_New,Arch_New,Timo
9262,10925,Late,MidLate,Timo,Arch_New,Timo
9264,10925,Late,MidLate,Arch_New,Arch_New,Timo
9268,10925,Late,MidLate,Arch_New,Arch_New,Timo
9270,10925,Late,MidLate,Arch_New,Arch_New,Timo
9274,10925,Late,MidLate,Arch_New,Arch_New,Timo
9288,12972,Late,MidLate,Arch_New,Arch_New,Tara
9290,12972,Late,MidLate,Arch_New,Arch_New,Timo
9308,12278,Late,MidLate,Timo,Arch_New,Timo
9310,12278,Late,MidLate,Arch_New,Arch_New,Timo
9316,8413,Mid,MidLate,Arch_New,Arch_New,Timo
9342,8413,Mid,MidLate,Arch_New,Arch_New,Timo
9344,8413,Mid,MidLate,Arch_New,Arch_New,Tara
9346,8413,Mid,MidLate,Arch_New,Arch_New,Timo
9350,12015,Mid,MidLate,Arch_New,Arch_New,Tara
9352,12015,Mid,MidLate,Arch_New,Arch_New,Timo
9354,12015,Mid,MidLate,N/A,Arch_New,Timo
9356,12015,Mid,MidLate,N/A,Arch_New,Timo
9358,12015,Mid,MidLate,N/A,Arch_New,Timo
9360,12015,Mid,MidLate,N/A,Arch_New,Tara
9362,12015,Mid,MidLate,N/A,Arch_New,Timo
9364,12015,Mid,MidLate,N/A,Arch_New,Timo
9368,12015,Mid,MidLate,N/A,Arch_New,Timo
9370,12015,Mid,MidLate,N/A,Arch_New,Timo
9372,12015,Mid,MidLate,N/A,Arch_New,Tara
9374,12015,Mid,MidLate,N/A,Arch_New,Timo
9376,12015,Mid,MidLate,N/A,Arch_New,Timo
9378,12015,Mid,MidLate,N/A,Arch_New,Timo
9382,12015,Mid,MidLate,N/A,Arch_New,Timo
9384,12015,Mid,MidLate,N/A,Arch_New,Timo
9386,10922,Late,MidLate,N/A,Arch_New,Timo
9388,10922,Late,MidLate,N/A,Arch_New,Timo
9394,11996,Mid,MidLate,Arch_New,Arch_New,Tara
9396,11996,Mid,MidLate,N/A,Arch_New,Timo
9398,11996,Mid,MidLate,N/A,Arch_New,Tara
9400,11996,Mid,MidLate,N/A,Arch_New,Timo
9402,11996,Mid,MidLate,N/A,Arch_New,Timo
9404,11996,Mid,MidLate,N/A,Arch_New,Timo
9406,11996,Mid,MidLate,N/A,Arch_New,Tara
9408,11996,Mid,MidLate,N/A,Arch_New,Tara
9412,11996,Mid,MidLate,N/A,Arch_New,Timo
9414,11996,Mid,MidLate,N/A,Arch_New,Tara
9416,11996,Mid,MidLate,N/A,Arch_New,Timo
9418,11996,Mid,MidLate,N/A,Arch_New,Tara
9432,3151,Early,Early,Tara,Arch_New,Tara
9434,3151,Early,Early,Arch_New,Arch_New,Timo
9440,12155,Late,MidLate,Arch_New,Arch_New,Timo
9446,1804,Early,Early,Tara,Arch_New,Tara
9468,7104,Late,MidLate,Timo,Arch_New,Timo
9470,7104,Late,MidLate,Arch_New,Arch_New,Timo
9472,7104,Late,MidLate,Arch_New,Arch_New,Timo
9476,10830,Late,MidLate,Arch_New,Arch_New,Timo
9478,10830,Late,MidLate,Arch_New,Arch_New,Timo
9526,295,Early,Early,Arch_New,Arch_New,Tara
9534,295,Early,Early,Arch_New,Arch_New,Tara
9538,295,Early,Early,Tara,Arch_New,Tara
9540,295,Early,Early,Tara,Arch_New,Tara
9552,295,Early,Early,Arch_New,Arch_New,Timo
9554,8328,Late,MidLate,Arch_New,Arch_New,Timo
9584,12089,Late,MidLate,Arch_New,Arch_New,Timo
9586,12089,Late,MidLate,Timo,Arch_New,Timo
9602,2985,Early,Early,Arch_New,Arch_New,Timo
9606,345,Early,Early,Tara,Arch_New,Tara
9616,13253,Early,Early,Arch_New,Arch_New,Tara
9622,513,Early,Early,Arch_New,Arch_New,Timo
9624,7107,Late,MidLate,Tara,Arch_New,Tara
9626,7107,Late,MidLate,Tara,Arch_New,Tara
9628,7107,Late,MidLate,Arch_New,Arch_New,Timo
9632,7107,Late,MidLate,Arch_New,Arch_New,Tara
9636,7107,Late,MidLate,Arch_New,Arch_New,Timo
9638,7107,Late,MidLate,Arch_New,Arch_New,Timo
9640,7107,Late,MidLate,Arch_New,Arch_New,Tara
9642,7107,Late,MidLate,Arch_New,Arch_New,Tara
9654,8326,Late,MidLate,Timo,Arch_New,Timo
9656,8326,Late,MidLate,Tara,Arch_New,Tara
9660,8326,Late,MidLate,Arch_New,Arch_New,Tara
9664,12576,Early,Early,Timo,Arch_New,Timo
9670,11856,Late,MidLate,Arch_New,Arch_New,Timo
9686,12296,Late,MidLate,Arch_New,Arch_New,Timo
9698,12317,Late,MidLate,Arch_New,Arch_New,Timo
9704,9798,Mid,MidLate,Timo,Arch_New,Timo
9712,9798,Mid,MidLate,Arch_New,Arch_New,Timo
9714,11995,Mid,MidLate,N/A,Arch_New,Timo
9718,11995,Mid,MidLate,N/A,Arch_New,Timo
9720,11995,Mid,MidLate,N/A,Arch_New,Timo
9722,11995,Mid,MidLate,N/A,Arch_New,Timo
9724,11995,Mid,MidLate,N/A,Arch_New,Tara
9730,11995,Mid,MidLate,N/A,Arch_New,Timo
9732,11995,Mid,MidLate,N/A,Arch_New,Tara
9738,11995,Mid,MidLate,N/A,Arch_New,Timo
9746,11995,Mid,MidLate,N/A,Arch_New,Timo
9748,11995,Mid,MidLate,N/A,Arch_New,Timo
9752,366,Early,Early,Timo,Arch_New,Timo
9766,5030,Mid,MidLate,Arch_New,Arch_New,Timo
9804,513,Early,Early,Arch_New,Arch_New,Timo
9814,2236,Early,Early,Timo,Arch_New,Timo
9824,1038,Early,Early,Arch_New,Arch_New,Tara
9836,3666,Early,Early,Arch_New,Arch_New,Tara
9838,3666,Early,Early,Tara,Arch_New,Tara
9840,3666,Early,Early,Tara,Arch_New,Tara
9844,3324,Early,Early,Timo,Arch_New,Timo
9846,1010,Early,Early,Arch_New,Arch_New,Tara
9850,3151,Early,Early,Arch_New,Arch_New,Timo
