Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?,Mixed sample?
9000_New_2845_S1_Early_1x1.25_d_c,9000,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,d,c,Y
9001_New_2845_S1_Early_1x1.25_l_c,9001,Z6 APO,1x,1.25,1297,2845,,Early,S1,,Arch_New,l,c,Y
9003_New_2845_S2_Early_1x1.25_d_c,9003,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,d,c,Y
9004_New_2845_S2_Early_1x1.25_l_c,9004,Z6 APO,1x,1.25,1297,2845,,Early,S2,,Arch_New,l,c,Y
9021_New_30785_S1_Late_1x1.25_d_c,9021,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,d,c,N
9022_New_30785_S1_Late_1x1.25_l_c,9022,Z6 APO,1x,1.25,10922,30785,,Late,S1,,Arch_New,l,c,N
9024_New_30785_S2_Late_1x1.25_d_c,9024,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,d,c,N
9025_New_30785_S2_Late_1x1.25_l_c,9025,Z6 APO,1x,1.25,10922,30785,,Late,S2,,Arch_New,l,c,N
9027_New_30785_S3_Late_1x1.25_d_c,9027,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,d,c,N
9028_New_30785_S3_Late_1x1.25_l_c,9028,Z6 APO,1x,1.25,10922,30785,,Late,S3,,Arch_New,l,c,N
9036_New_20703_S3_Late_1x1.25_d_c,9036,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,d,c,Y
9037_New_20703_S3_Late_1x1.25_l_c,9037,Z6 APO,1x,1.25,10925,20703,,Late,S3,,Arch_New,l,c,Y
9048_New_22637_S1_Middle_1x1.25_d_c,9048,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,d,c,N
9049_New_22637_S1_Middle_1x1.25_l_c,9049,Z6 APO,1x,1.25,12015,22637,,Mid,S1,,Arch_New,l,c,N
9057_cf New_5314_S1_Early_1x1.25_d_c,9057,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,d,c,Y
9058_cf New_5314_S1_Early_1x1.25_l_c,9058,Z6 APO,1x,1.25,3742,5314,,Early,S1,,Arch_New,l,c,Y
9072_Emmer_1442_S1_Middle_1x1.25_d_c,9072,Z6 APO,1x,1.25,535,1442,,Middle,S1,,Arch_Emmer,d,c,Y
9073_Emmer_1442_S1_Middle_1x1.25_l_c,9073,Z6 APO,1x,1.25,535,1442,,Middle,S1,,Arch_Emmer,l,c,Y
9078_Emmer_1255_S4_Middle_1x1.25_d_c,9078,Z6 APO,1x,1.25,78,1255,,Middle,S4,,Arch_Emmer,d,c,Y
9079_Emmer_1255_S4_Middle_1x1.25_l_c,9079,Z6 APO,1x,1.25,78,1255,,Middle,S4,,Arch_Emmer,l,c,Y
9114_Emmer_1255_S5_Middle_1x1.25_d_c,9114,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,d,c,Y
9115_Emmer_1255_S5_Middle_1x1.25_l_c,9115,Z6 APO,1x,1.25,78,1255,,Middle,S5,,Arch_New,l,c,Y
9117_Emmer_1255_S3_Middle_1x1.25_d_c,9117,Z6 APO,1x,1.25,78,1255,,Middle,S3,,Arch_Emmer,d,c,Y
9118_Emmer_1255_S3_Middle_1x1.25_l_c,9118,Z6 APO,1x,1.25,78,1255,,Middle,S3,,Arch_Emmer,l,c,Y
9120_Emmer_1255_S1_Middle_1x1.25_d_c,9120,Z6 APO,1x,1.25,78,1255,,Middle,S1,,Arch_Emmer,d,c,Y
9121_Emmer_1255_S1_Middle_1x1.25_l_c,9121,Z6 APO,1x,1.25,78,1255,,Middle,S1,,Arch_Emmer,l,c,Y
9138_Emmer_20703_S1_Late_1x1.25_d_c,9138,Z6 APO,1x,1.25,10830,20703,,Late,S1,,Arch_Emmer,d,c,Y
9139_Emmer_20703_S1_Late_1x1.25_l_c,9139,Z6 APO,1x,1.25,10830,20703,,Late,S1,,Arch_Emmer,l,c,Y
9141_Emmer_20703_S3_Late_1x1.25_d_c,9141,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,d,c,Y
9142_Emmer_20703_S3_Late_1x1.25_l_c,9142,Z6 APO,1x,1.25,10830,20703,,Late,S3,,Arch_New,l,c,Y
9144_Not ID_32837_S3_Late_1x1.25_d_c,9144,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,d,c,Y
9145_Not ID_32837_S3_Late_1x1.25_l_c,9145,Z6 APO,1x,1.25,13917,32837,,Late,S3,,Arch_New,l,c,Y
9150_Emmer_1099_S1_Early_1x1.25_d_c,9150,Z6 APO,1x,1.25,173,1099,,Early,S1,,Arch_Emmer,d,c,Y
9151_Emmer_1099_S1_Early_1x1.25_l_c,9151,Z6 APO,1x,1.25,173,1099,,Early,S1,,Arch_Emmer,l,c,Y
9156_EmmerORNew_3705_S1_Early_1x1_d_c,9156,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,d,c,Y
9157_EmmerORNew_3705_S1_Early_1x1_l_c,9157,Nikon,1x,1,1804,3705,,Early,S1,,Arch_New,l,c,Y
9158_New_22656_S4_Middle_1x1_d_c,9158,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,d,c,N
9159_New_22656_S4_Middle_1x1_l_c,9159,Nikon,1x,1,11996,22656,,Mid,S4,,Arch_New,l,c,N
9160_New_22656_S5_Middle_1x1_d_c,9160,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,d,c,N
9161_New_22656_S5_Middle_1x1_l_c,9161,Nikon,1x,1,11996,22656,,Mid,S5,,Arch_New,l,c,N
9162_New_22656_S6_Middle_1x1_d_c,9162,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,d,c,N
9163_New_22656_S6_Middle_1x1_l_c,9163,Nikon,1x,1,11996,22656,,Mid,S6,,Arch_New,l,c,N
9166_New_22656_S8_Middle_1x1_d_c,9166,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,d,c,N
9167_New_22656_S8_Middle_1x1_l_c,9167,Nikon,1x,1,11996,22656,,Mid,S8,,Arch_New,l,c,N
9168_New_22656_S9_Middle_1x1_d_c,9168,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,d,c,N
9169_New_22656_S9_Middle_1x1_l_c,9169,Nikon,1x,1,11996,22656,,Mid,S9,,Arch_New,l,c,N
9174_New_22656_S12_Middle_1x1_d_c,9174,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,d,c,N
9175_New_22656_S12_Middle_1x1_l_c,9175,Nikon,1x,1,11996,22656,,Mid,S12,,Arch_New,l,c,N
9184_Emmer_20703_S4_Late_1x1_d_c,9184,Nikon,1x,1,10830,20703,,Late,S4,,Arch_Emmer,d,c,Y
9185_Emmer_20703_S4_Late_1x1_l_c,9185,Nikon,1x,1,10830,20703,,Late,S4,,Arch_Emmer,l,c,Y
9186_New_20703_S4_Late_1x1_d_c,9186,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,d,c,Y
9187_New_20703_S4_Late_1x1_l_c,9187,Nikon,1x,1,10830,20703,,Late,S4,,Arch_New,l,c,Y
9188_New_20703_S5_Late_1x1_d_c,9188,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,d,c,Y
9189_New_20703_S5_Late_1x1_l_c,9189,Nikon,1x,1,10830,20703,,Late,S5,,Arch_New,l,c,Y
9190_New_20703_S6_Late_1x1_d_c,9190,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,d,c,Y
9191_New_20703_S6_Late_1x1_l_c,9191,Nikon,1x,1,10830,20703,,Late,S6,,Arch_New,l,c,Y
9192_New_20703_S7_Late_1x1_d_c,9192,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,d,c,Y
9193_New_20703_S7_Late_1x1_l_c,9193,Nikon,1x,1,10830,20703,,Late,S7,,Arch_New,l,c,Y
9194_New_20703_S8_Late_1x1_d_c,9194,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,d,c,Y
9195_New_20703_S8_Late_1x1_l_c,9195,Nikon,1x,1,10830,20703,,Late,S8,,Arch_New,l,c,Y
9200_New_20703_S11_Late_1x1_d_c,9200,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,d,c,Y
9201_New_20703_S11_Late_1x1_l_c,9201,Nikon,1x,1,10830,20703,,Late,S11,,Arch_New,l,c,Y
9210_Emmer_18596_S1_Middle_1x1_d_c,9210,Nikon,1x,1,Archive,18596,,Mid,S1,,Arch_Emmer,d,c,N
9211_Emmer_18596_S1_Middle_1x1_l_c,9211,Nikon,1x,1,Archive,18596,,Mid,S1,,Arch_Emmer,l,c,N
9212_Emmer_18596_S2_Middle_1x1_d_c,9212,Nikon,1x,1,Archive,18596,,Mid,S2,,Arch_Emmer,d,c,N
9213_Emmer_18596_S2_Middle_1x1_l_c,9213,Nikon,1x,1,Archive,18596,,Mid,S2,,Arch_Emmer,l,c,N
9214_Emmer_18596_S3_Middle_1x1_d_c,9214,Nikon,1x,1,Archive,18596,,Mid,S3,,Arch_Emmer,d,c,N
9215_Emmer_18596_S3_Middle_1x1_l_c,9215,Nikon,1x,1,Archive,18596,,Mid,S3,,Arch_Emmer,l,c,N
9216_Emmer_18596_S4_Middle_1x1_d_c,9216,Nikon,1x,1,Archive,18596,,Mid,S4,,Arch_Emmer,d,c,N
9217_Emmer_18596_S4_Middle_1x1_l_c,9217,Nikon,1x,1,Archive,18596,,Mid,S4,,Arch_Emmer,l,c,N
9220_Emmer_18596_S6_Middle_1x1_d_c,9220,Nikon,1x,1,Archive,18596,,Mid,S6,,Arch_Emmer,d,c,N
9221_Emmer_18596_S6_Middle_1x1_l_c,9221,Nikon,1x,1,Archive,18596,,Mid,S6,,Arch_Emmer,l,c,N
9222_Emmer_18596_S7_Middle_1x1_d_c,9222,Nikon,1x,1,Archive,18596,,Mid,S7,,Arch_Emmer,d,c,N
9223_Emmer_18596_S7_Middle_1x1_l_c,9223,Nikon,1x,1,Archive,18596,,Mid,S7,,Arch_Emmer,l,c,N
9224_Emmer_18596_S8_Middle_1x1_d_c,9224,Nikon,1x,1,Archive,18596,,Middle,S8,,Arch_Emmer,d,c,N
9225_Emmer_18596_S8_Middle_1x1_l_c,9225,Nikon,1x,1,Archive,18596,,Middle,S8,,Arch_Emmer,l,c,N
9226_Emmer_18596_S9_Middle_1x1_d_c,9226,Nikon,1x,1,Archive,18596,,Mid,S9,,Arch_Emmer,d,c,N
9227_Emmer_18596_S9_Middle_1x1_l_c,9227,Nikon,1x,1,Archive,18596,,Mid,S9,,Arch_Emmer,l,c,N
9228_Emmer_18596_S10_Middle_1x1_d_c,9228,Nikon,1x,1,Archive,18596,,Mid,S10,,Arch_Emmer,d,c,N
9229_Emmer_18596_S10_Middle_1x1_l_c,9229,Nikon,1x,1,Archive,18596,,Mid,S10,,Arch_Emmer,l,c,N
9230_Emmer_18596_S11_Middle_1x1_d_c,9230,Nikon,1x,1,Archive,18596,,Mid,S11,,Arch_Emmer,d,c,N
9231_Emmer_18596_S11_Middle_1x1_l_c,9231,Nikon,1x,1,Archive,18596,,Mid,S11,,Arch_Emmer,l,c,N
9232_Emmer_18596_S12_Middle_1x1_d_c,9232,Nikon,1x,1,Archive,18596,,Mid,S12,,Arch_Emmer,d,c,N
9233_Emmer_18596_S12_Middle_1x1_l_c,9233,Nikon,1x,1,Archive,18596,,Mid,S12,,Arch_Emmer,l,c,N
9234_Emmer_18596_S13_Middle_1x1_d_c,9234,Nikon,1x,1,Archive,18596,,Mid,S13,,Arch_Emmer,d,c,N
9235_Emmer_18596_S13_Middle_1x1_l_c,9235,Nikon,1x,1,Archive,18596,,Mid,S13,,Arch_Emmer,l,c,N
9236_Emmer_18596_S14_Middle_1x1_d_c,9236,Nikon,1x,1,Archive,18596,,Mid,S14,,Arch_Emmer,d,c,N
9237_Emmer_18596_S14_Middle_1x1_l_c,9237,Nikon,1x,1,Archive,18596,,Mid,S14,,Arch_Emmer,l,c,N
9238_Emmer_18596_S15_Middle_1x1_d_c,9238,Nikon,1x,1,Archive,18596,,Mid,S15,,Arch_Emmer,d,c,N
9239_Emmer_18596_S15_Middle_1x1_l_c,9239,Nikon,1x,1,Archive,18596,,Mid,S15,,Arch_Emmer,l,c,N
9240_Emmer_18596_S16_Middle_1x1_d_c,9240,Nikon,1x,1,Archive,18596,,Mid,S16,,Arch_Emmer,d,c,N
9241_Emmer_18596_S16_Middle_1x1_l_c,9241,Nikon,1x,1,Archive,18596,,Mid,S16,,Arch_Emmer,l,c,N
9242_Emmer_18596_S17_Middle_1x1_d_c,9242,Nikon,1x,1,Archive,18596,,Mid,S17,,Arch_Emmer,d,c,N
9243_Emmer_18596_S17_Middle_1x1_l_c,9243,Nikon,1x,1,Archive,18596,,Mid,S17,,Arch_Emmer,l,c,N
9244_cf. 2gr einkorn__S1_Early_1x1_d_c,9244,Nikon,1x,1,3297,,,Early,S1,,Arch_New,d,c,Y
9245_cf. 2gr einkorn__S1_Early_1x1_l_c,9245,Nikon,1x,1,3297,,,Early,S1,,Arch_New,l,c,Y
9254_Emmer_20747_S3_Late_1x1_d_c,9254,Nikon,1x,1,12913,20747,,Late,S3,,Arch_Emmer,d,c,Y
9255_Emmer_20747_S3_Late_1x1_l_c,9255,Nikon,1x,1,12913,20747,,Late,S3,,Arch_Emmer,l,c,Y
9256_New Type_20703_S4_Late_1x1_d_c,9256,Nikon,1x,1,10925,20703,,Late,S4,,Arch_New,d,c,Y
9257_New Type_20703_S4_Late_1x1_l_c,9257,Nikon,1x,1,10925,20703,,Late,S4,,Arch_New,l,c,Y
9258_New Type_20703_S5_Late_1x1_d_c,9258,Nikon,1x,1,10925,20703,,Late,S5,,Arch_New,d,c,Y
9259_New Type_20703_S5_Late_1x1_l_c,9259,Nikon,1x,1,10925,20703,,Late,S5,,Arch_New,l,c,Y
9260_New Type_20703_S6_Late_1x1_d_c,9260,Nikon,1x,1,10925,20703,,Late,S6,,Arch_New,d,c,Y
9261_New Type_20703_S6_Late_1x1_l_c,9261,Nikon,1x,1,10925,20703,,Late,S6,,Arch_New,l,c,Y
9262_New Type_20703_S7_Late_1x1_d_c,9262,Nikon,1x,1,10925,20703,,Late,S7,,Arch_New,d,c,Y
9263_New Type_20703_S7_Late_1x1_l_c,9263,Nikon,1x,1,10925,20703,,Late,S7,,Arch_New,l,c,Y
9264_New Type_20703_S8_Late_1x1_d_c,9264,Nikon,1x,1,10925,20703,,Late,S8,,Arch_New,d,c,Y
9265_New Type_20703_S8_Late_1x1_l_c,9265,Nikon,1x,1,10925,20703,,Late,S8,,Arch_New,l,c,Y
9266_New Type_20703_S9_Late_1x1_d_c,9266,Nikon,1x,1,10925,20703,,Late,S9,,Arch_Emmer,d,c,Y
9267_New Type_20703_S9_Late_1x1_l_c,9267,Nikon,1x,1,10925,20703,,Late,S9,,Arch_Emmer,l,c,Y
9268_New Type_20703_S10_Late_1x1_d_c,9268,Nikon,1x,1,10925,20703,,Late,S10,,Arch_New,d,c,Y
9269_New Type_20703_S10_Late_1x1_l_c,9269,Nikon,1x,1,10925,20703,,Late,S10,,Arch_New,l,c,Y
9270_New Type_20703_S11_Late_1x1_d_c,9270,Nikon,1x,1,10925,20703,,Late,S11,,Arch_New,d,c,Y
9271_New Type_20703_S11_Late_1x1_l_c,9271,Nikon,1x,1,10925,20703,,Late,S11,,Arch_New,l,c,Y
9274_New Type_20703_S13_Late_1x1_d_c,9274,Nikon,1x,1,10925,20703,,Late,S13,,Arch_New,d,c,Y
9275_New Type_20703_S13_Late_1x1_l_c,9275,Nikon,1x,1,10925,20703,,Late,S13,,Arch_New,l,c,Y
9288_New Type_20789_S1_Late_1x1_d_c,9288,Nikon,1x,1,12972,20789,,Late,S1,,Arch_New,d,c,Y
9289_New Type_20789_S1_Late_1x1_l_c,9289,Nikon,1x,1,12972,20789,,Late,S1,,Arch_New,l,c,Y
9290_New Type_20789_S2_Late_1x1_d_c,9290,Nikon,1x,1,12972,20789,,Late,S2,,Arch_New,d,c,Y
9291_New Type_20789_S2_Late_1x1_l_c,9291,Nikon,1x,1,12972,20789,,Late,S2,,Arch_New,l,c,Y
9292_Emmer_32803_S1_Late_1x1_d_c,9292,Nikon,1x,1,13850,32803,,Mid,S1,,Arch_Emmer,d,c,N
9293_Emmer_32803_S1_Late_1x1_l_c,9293,Nikon,1x,1,13850,32803,,Mid,S1,,Arch_Emmer,l,c,N
9296_Emmer_11911_S1_Middle_1x1_d_c,9296,Nikon,1x,1,6050,11911,,Middle,S1,,Arch_Emmer,d,c,Y
9297_Emmer_11911_S1_Middle_1x1_l_c,9297,Nikon,1x,1,6050,11911,,Middle,S1,,Arch_Emmer,l,c,Y
9306_Emmer_2845_S2_Early_1x1_d_c,9306,Nikon,1x,1,1297,2845,,Early,S2,,Arch_Emmer,d,c,Y
9307_Emmer_2845_S2_Early_1x1_l_c,9307,Nikon,1x,1,1297,2845,,Early,S2,,Arch_Emmer,l,c,Y
9308_cf New Type_22850_S1_Late_1x1_d_c,9308,Nikon,1x,1,12278,22850,,Late,S1,,Arch_New,d,c,Y
9309_cf New Type_22850_S1_Late_1x1_l_c,9309,Nikon,1x,1,12278,22850,,Late,S1,,Arch_New,l,c,Y
9310_cf New Type_22850_S2_Late_1x1_d_c,9310,Nikon,1x,1,12278,22850,,Late,S2,,Arch_New,d,c,Y
9311_cf New Type_22850_S2_Late_1x1_l_c,9311,Nikon,1x,1,12278,22850,,Late,S2,,Arch_New,l,c,Y
9316_New Type_16480_S5_Middle_1x1_d_c,9316,Nikon,1x,1,8413,16480,,Middle,S5,,Arch_New,d,c,Y
9317_New Type_16480_S5_Middle_1x1_l_c,9317,Nikon,1x,1,8413,16480,,Middle,S5,,Arch_New,l,c,Y
9342_New Type_16480_S18_Middle_1x1_d_c,9342,Nikon,1x,1,8413,16480,,Middle,S18,,Arch_New,d,c,Y
9343_New Type_16480_S18_Middle_1x1_l_c,9343,Nikon,1x,1,8413,16480,,Middle,S18,,Arch_New,l,c,Y
9344_New Type_16480_S19_Middle_1x1_d_c,9344,Nikon,1x,1,8413,16480,,Middle,S19,,Arch_New,d,c,Y
9345_New Type_16480_S19_Middle_1x1_l_c,9345,Nikon,1x,1,8413,16480,,Middle,S19,,Arch_New,l,c,Y
9346_New Type_16480_S20_Middle_1x1_d_c,9346,Nikon,1x,1,8413,16480,,Middle,S20,,Arch_New,d,c,Y
9347_New Type_16480_S20_Middle_1x1_l_c,9347,Nikon,1x,1,8413,16480,,Middle,S20,,Arch_New,l,c,Y
9350_New Type_22637_S4_Middle_1x1_d_c,9350,Nikon,1x,1,12015,22637,,Mid,S4,,Arch_New,d,c,N
9351_New Type_22637_S4_Middle_1x1_l_c,9351,Nikon,1x,1,12015,22637,,Mid,S4,,Arch_New,l,c,N
9352_New Type_22637_S5_Middle_1x1_d_c,9352,Nikon,1x,1,12015,22637,,Mid,S5,,Arch_New,d,c,N
9353_New Type_22637_S5_Middle_1x1_l_c,9353,Nikon,1x,1,12015,22637,,Mid,S5,,Arch_New,l,c,N
9354_New Type_22637_S6_Middle_1x1_d_c,9354,Nikon,1x,1,12015,22637,,Mid,S6,,Arch_New,d,c,N
9355_New Type_22637_S6_Middle_1x1_l_c,9355,Nikon,1x,1,12015,22637,,Mid,S6,,Arch_New,l,c,N
9356_New Type_22637_S7_Middle_1x1_d_c,9356,Nikon,1x,1,12015,22637,,Mid,S7,,Arch_New,d,c,N
9357_New Type_22637_S7_Middle_1x1_l_c,9357,Nikon,1x,1,12015,22637,,Mid,S7,,Arch_New,l,c,N
9358_New Type_22637_S8_Middle_1x1_d_c,9358,Nikon,1x,1,12015,22637,,Mid,S8,,Arch_New,d,c,N
9359_New Type_22637_S8_Middle_1x1_l_c,9359,Nikon,1x,1,12015,22637,,Mid,S8,,Arch_New,l,c,N
9360_New Type_22637_S9_Middle_1x1_d_c,9360,Nikon,1x,1,12015,22637,,Mid,S9,,Arch_New,d,c,N
9361_New Type_22637_S9_Middle_1x1_l_c,9361,Nikon,1x,1,12015,22637,,Mid,S9,,Arch_New,l,c,N
9362_New Type_22637_S10_Middle_1x1_d_c,9362,Nikon,1x,1,12015,22637,,Mid,S10,,Arch_New,d,c,N
